bangumiId,kind,lang,title,content
11,primary,ja-JP,テラフォーマーズ リベンジ,"""テラフォーマーズ リベンジ"" は『テラフォーマーズ』アニメの第2期。西暦2599年、人類は火星をテラフォーミングするためゴキブリを送り込んだが、数世紀後に凶暴化した超パワーの火星ゴキブリによる反撃を受ける。火星を奪還すべく、各国は遺伝子改造された超兵士たちの遠征隊を送り込み、強力な虫との凄絶な戦いを繰り広げる。今期は火星生物の進化の謎と政治的な陰謀がさらに明かされ、小町小吉たちがより危険な戦場へと投げ込まれる。"
12,primary,ja-JP,逆転裁判,"""逆転裁判"" はCAPCOMの同名法廷ミステリーゲームをアニメ化。新米弁護士・成歩堂龍一が、数々の逆転劇に満ちた事件に挑む。丹念な捜査と鋭い尋問、証言の矛盾を暴き、無実の依頼人を救う。ゲームの名場面を忠実に再現し、誇張された演出と迫力あるBGMで、真実をひっくり返す快感が味わえる。検事・御剣怜侍や友人・真宵との因縁も描かれるミステリーファン必見の作品。"
13,primary,ja-JP,アスタリスク 戦星の乙女,"""アスタリスク 戦星の乙女"" 第2期は同名ライトノベルのアニメ化。水の学園都市・星導館学園での学園バトルを描く。魔導適性を持つ少年天霧綾斗は、姉の失踪の真相を探るため成長を続け、学園の頂点を決めるフェスタ・フェスタに参加する。今期は綾斗の過去やアスタリスク評議会、星脈世代の争いが次第に明らかになり、強敵たちとの学園闘技と熱い戦いが繰り広げられる。典型的なライトノベル学園バトル作品。"
14,primary,ja-JP,ニンジャスレイヤー フロムアニメイシヨン,"""ニンジャスレイヤー フロムアニメイシヨン"" は同名ウェブ小説をアニメ化。現代日本で暗躍するニンジャスレイヤーの物語。普通の会社員・藤木戸健二はニンジャ組織の抗争に巻き込まれ、最愛の女性を惨殺された後、謎の力によってニンジャスレイヤーへと変貌し、ニンジャ組織への復讐の道を歩む。衝撃的な演出と疾走感あふれるニンジャバトル、ウェブ小説特有の誇張された文体が魅力で、バイオレンス美学とナンセンスな笑いが同居する異色作。"
15,primary,ja-JP,機動戦士ガンダムUC RE:0096,"""機動戦士ガンダムUC RE:0096"" は『ガンダムUC』OVAを再編集したテレビ版。宇宙世紀0096年を舞台に、少年バナージ・リンクスが謎のモビルスーツ・ユニコーンガンダムと出会い、ラプラスの箱を巡る宇宙戦争に巻き込まれる。人類の未来を導く鍵として、NT-Dシステムと覚醒しつつあるニュータイプ能力が描かれる。壮麗な宇宙戦闘と深い政治劇、戦争への省察が魅力の傑作。"
16,primary,ja-JP,僕のヒーローアカデミア,"""僕のヒーローアカデミア"" は堀越耕平原作の同名漫画をアニメ化。超能力が当たり前の世界で、無個性の少年緑谷出久はヒーローを志す。最強ヒーロー・オールマイトの力を継承し、雄英高校で爆豪や麗日、轟らと共に成長しながら、敵連合と戦う。熱いヒーロー育成と仲間との絆、個性豊かな個性設計が魅力で、ゼロから歩み出す出久の成長が心を打つ熱血作品。"
17,primary,ja-JP,パンでPeace!,"""パンでPeace!"" は4コマ漫画をアニメ化した日常系アニメ。16歳の少女みなみがパン屋で働く日常を描く。優しい言葉と笑顔、手作りのパンで、訪れる客や友人たちを癒していく。大きなドラマはないが、温かい小さな物語を通して、人と人とのささやかな優しさや絆が描かれ、画面からパンの香りが漂ってきそうなほのぼのとした癒し作品。"
18,primary,ja-JP,マクロスΔ,"""マクロスΔ"" は『マクロス』シリーズ最新作。人類が様々な銀河文明と共存する未来で、バルキリー飛行部隊とアイドルグループ・ワルキューレが共に戦う。少女たちの歌はヴァール症候群に感染した者を鎮める力を持ち、敵の歌は破壊と狂気をもたらす。凄腕パイロット・ハヤテと歌姫フレイヤの成長を軸に、美しい空中戦と感動の音楽、三角関係を描く。"
19,primary,ja-JP,コンクリート・レボルティオ〜超人幻想〜 THE LAST SONG,"""コンクリート・レボルティオ〜超人幻想〜 THE LAST SONG"" は本作の第2期。超人や妖怪、ロボットが存在するもう一つの時代を舞台に、国家は彼らを登録・管理する超人課を設立する。第2期は変わりゆく時代の中で、人吉爾朗と超人課メンバーの立場の葛藤を描き、正義と秩序、理想と現実の狭間で苦悩する超人の姿が描かれる。複雑な構成と鋭い社会批評で知られる異色の群像ファンタジー。"
20,primary,ja-JP,アイカツ!,"""アイカツ!"" 第2期はアイドル活動シリーズの続編。スターライト学園で星宮いちごたち少女のアイドル生活が続く。いちごは新しいライバルや友人と出会い、様々なイベントやオーディションに参加しながらトップアイドルを目指して成長していく。華やかな衣装と感動の歌とダンス、夢にあふれた展開で、アイドル界の輝きとドラマが描かれる。"
21,primary,ja-JP,ブレイブルー オルタメモリー,"""ブレイブルー オルタメモリー"" は同名2D格闘ゲームをアニメ化。魔道書と蒼の継承者を巡る戦いを描く。都市階級が激しく分断された世界で、覚醒者や魔道師たちが蒼の力の争奪戦に巻き込まれる。主人公ラグナは世界の崩壊を招いた者に抗うため戦い、妹ニュウや個性豊かなキャラクターたちと複雑な因縁で絡み合う。華麗な戦闘シーンと広大な世界観が魅力の格闘ゲームアニメ化作品。"
22,primary,ja-JP,蒼き鋼のアルペジオ,"""蒼き鋼のアルペジオ"" は同名漫画をアニメ化。自我を持つ軍艦少女と人類のSF海戦物語。謎の艦隊・霧によって海洋を封鎖され、人類は制海権を失う。少年千早群像は偶然霧の軍艦イ401に乗り込み、そのメンタルモデルの少女イオナと契約し、海を取り戻すための戦いに挑む。緻密な艦船考証とSF設定、自我や信頼、人間性の限界を問うテーマが魅力の作品。"
23,primary,ja-JP,革命機ヴァルヴレイヴ,"""革命機ヴァルヴレイヴ"" 第2期は第1期の続編。少年時縞ハルトがヴァルヴレイヴに乗って戦う物語。国際紛争に巻き込まれたハルトはヴァルヴレイヴのパイロットとなり、滅亡した国家の王女や咲森学園の仲間たちと共に強大な帝国の圧政に立ち向かう。第2期ではヴァルヴレイヴの真実、不死者、人類の未来が次第に明らかになり、ハルトはその力のために大きな代償を払う。壮大なロボット戦争と複雑な政治劇が魅力の作品。"
24,primary,ja-JP,アウトブレイク・カンパニー,"""アウトブレイク・カンパニー"" は同名ライトノベルをアニメ化。オタクの高校生・加納慎一が、異世界の日本大使としてオタク大使に抜擢され、魔法世界に2D文化を広める物語。ハーフエルフのメイド・ミュセルや竜人のラクーナなど個性豊かな仲間と暮らしながら、アニメやゲーム、漫画のサブカルチャーで閉ざされた世界を変えていく。異世界とオタク文化、ライトコメディが融合した日常系作品。"
25,primary,ja-JP,キルラキル,"""キルラキル"" はTRIGGER制作のオリジナル熱血アニメ。転校生の纏流子は神衣鮮血を纏い、父の仇を探すため本能字学園に殴り込み、学園を支配する鬼龍院皐月とその精鋭・四天王と戦う。戦いが進むにつれ、神衣や生命戦維、人間の本能を巡る壮大な陰謀が浮かび上がる。誇張された爆発的な演出と痛快なバトル、成長する流子と鮮血の絆が魅力の世代を代表するアクションアニメ。"
26,primary,ja-JP,IS〈インフィニット・ストラトス〉,"""IS〈インフィニット・ストラトス〉"" 第2期は同名ライトノベルをアニメ化。女性専用兵器ISの唯一の男性操縦者・織斑一夏の学園バトルコメディ。第1期に続き、一夏は学園祭や訓練、大会で仲間たちとの絆を深めながら、新たな強敵や試練に立ち向かう。華麗なISバトルとハーレムラブコメ、軽快な日常が売りの典型的なライトノベル学園バトルハーレム作品。"
27,primary,ja-JP,京騒戯画,"""京騒戯画"" は同名短編アニメをアニメ化。混沌と秩序が交錯する鏡都で、少女コトは失踪した父を探す不思議な冒険に出る。鏡都は人間と妖怪が共存する魔法の世界で、コトは様々な思惑を持つ妖怪たちと出会い、都の謎と創生の真実を巡る事件に巻き込まれる。大胆な色彩と独特の美しい和風映像、無限の想像力が魅力の作品。"
28,primary,ja-JP,コッペリオン,"""コッペリオン"" は同名漫画をアニメ化。原子力発電所事故で死の都市と化した近未来の東京を舞台に、特殊部隊の少女たちが廃墟で危険な任務を遂行する。主人公・成瀬荊は姉妹と共に汚染区域に入り、生存者の救出と真実の究明に挑む。廃墟と化した都市を背景に、少女たちの勇気と犠牲を通して希望や責任、生存を描く、緊張感あふれる作品。"
29,primary,ja-JP,ガンダムビルドファイターズ,"""ガンダムビルドファイターズ"" は『ガンダム』シリーズのスピンオフ。ガンプラ（ガンダムのプラモデル）による戦いを描く熱い物語。少年イオリ・セイが作ったガンプラを、謎の達人レイジが操り、二人はタッグを組んで全日本ガンプラバトル選手権に挑む。模型製作とバーチャルバトルを完璧に融合し、明るく爽快な展開と熱いバトル、友情が魅力。"
30,primary,ja-JP,ゴールデンタイム,"""ゴールデンタイム"" は竹宮ゆゆこ原作の同名ライトノベルをアニメ化。大学生・多田万里は入学後に高校時代までの記憶を徐々に失いながらも、過去の自分に悩む。優しい先輩・林田奈々や恋敵・柳澤光央と出会い、青春の甘さと切なさに満ちた恋物語が展開する。記憶や成長、選択を繊細に描いた、リアルで優しい青春恋愛作品。"
31,primary,ja-JP,のうコメ〜俺の絶対選択が学園ラブコメを全力で邪魔している〜,"""のうコメ〜俺の絶対選択が学園ラブコメを全力で邪魔している〜"" は同名ライトノベルをアニメ化。高校生・甘草奏は突然頭の中に現れる強制的な選択肢に悩まされ、恥ずかしい行動を強要される。ある日神様と名乗る少女と出会い、絶対選択に導かれながら学園ラブコメに巻き込まれていく。ギャグ的な設定と誇張されたコメディ演出が魅力の学園ラブコメ。"
32,primary,ja-JP,勇者になれなかった俺はしぶしぶ就職を決意しました。,"""勇者になれなかった俺はしぶしぶ就職を決意しました。"" は同名ライトノベルをアニメ化。勇者に魔王が倒され平和になった世界で、魔王の息子・ラウルは引き継ぐ使命を失い、普通の青年として魔法商店で働くことになる。元魔王軍の少女・フィノが応募してきて、共に働く中で様々なドタバタを繰り広げる。異世界バイトをテーマにしたライトコメディ作品。"
33,primary,ja-JP,東京レイヴンズ,"""東京レイヴンズ"" は同名ライトノベルをアニメ化。現代の東京を舞台に、陰陽師と呪術者の秘かな戦いが続く。自称ダメ陰陽師の少年・土御門春虎は事件に巻き込まれ、幼馴染の夏目や友人の鈴鹿と共に陰陽師の世界へ引き戻される。陰陽術と熱いバトル、学園生活が融合した人気のオカルトバトル作品。"
34,primary,ja-JP,ストライク・ザ・ブラッド,"""ストライク・ザ・ブラッド"" は同名ライトノベルをアニメ化。世界最強の吸血鬼・暁古城が絃神島の彩海学園に監視対象として入学し、剣巫の少女・姫柊雪菜とタッグを組む。魔族や聖戦機構、様々な陰謀と戦いながら、古城の秘められた吸血鬼の力が次第に覚醒していく。バトルと学園生活、恋愛が融合した現代ファンタジーバトル作品。"
35,primary,ja-JP,ホワイトアルバム2,"""ホワイトアルバム2"" は同名美少女ゲームをアニメ化。高校の軽音楽部の北原春希は、学園祭前に歌の才能あふれる少女・小木曽雪菜と出会い、そして実力はあるがクールな天才・冬馬かずさと出会う。三人は音楽を通じて複雑な感情の網に絡み合う。繊細な心理描写と息苦しいリアルな空気感、大人の恋愛ドラマが特徴で、三角関係の苦さが語り継がれる名作。"
36,primary,ja-JP,フリージング ヴァイブレーション,"""フリージング ヴァイブレーション"" は『フリージング』アニメの第2期。異次元生物・NOVAの脅威に対抗するため、人類はパンドラと呼ばれる聖痕持ちの戦士を育成する。今期は青井和哉とサテライザーの戦いと絆を軸に、NOVAの真実やパンドラの使命、それぞれの過去が明かされる。華麗な熱血バトルと個性的なキャラクター描写が魅力の作品。"
37,primary,ja-JP,リトルバスターズ! リフレイン,"""リトルバスターズ! リフレイン"" はゲームアニメ化の第2期であり核心編。直枝理樹とリトルバスターズは学園生活の中で世界の秘密に触れていく。今期はその裏側にある真実が明かされ、世界の繰り返しや仲間の犠牲、再会の物語が感動的に描かれる。友情と絆をテーマに、Key作品らしい泣ける展開が魅力。"
38,primary,ja-JP,機巧少女は傷つかない,"""機巧少女は傷つかない"" は同名ライトノベルをアニメ化。魔術世界の学園で、人形使いと自動人形が共存する。少年赤羽雷真は人形使いになるため入学するが、敗北後に自分の自動人形・夜々に襲われる。二人は衝突と調整を経て、好敵手から共闘者へと関係を変えていく。学園バトルと人形の設定が魅力で、雷真と夜々の掛け合いが楽しい作品。"
39,primary,ja-JP,境界の彼方,"""境界の彼方"" は同名ライトノベルをアニメ化。人間と妖夢が共存する世界で、血を操る半妖夢の少年・神原秋人が最強の妖夢使い・栗山未来と出会う。未来は秋人への特別な反応から妖夢討伐に巻き込まれ、二人は共に戦ううちに距離を縮めていく。ファンタジーバトルと学園ラブコメを融合し、京都アニメーションの繊細な作画と優しい感情描写が光る作品。"
40,primary,ja-JP,夜桜四重奏〜ハナノウタ〜,"""夜桜四重奏〜ハナノウタ〜"" は同名漫画をアニメ化。人間と妖怪が共存する桜新町の物語。町で起こる妖怪絡みの事件を解決するため、力を持つ少年少女たちが守護団を結成し、町を脅かす存在と戦う。4人の主人公を中心に、町を守る中での成長と絆、町の深い秘密が描かれる。和風ファンタジーを基盤に、アクションと日常、ミステリーが融合した作品。"
41,primary,ja-JP,黒子のバスケ,"""黒子のバスケ"" 第2期は第1期の続編。幻の6人目・黒子テツヤと火神大我の成長を描く。誠凛高校バスケ部は全国制覇を目指し、キセキの世代の青峰大輝や赤司征十郎、黄瀬涼太らと壮絶な試合を繰り広げる。誇張された超能力バスケと緊張感あふれる試合シーン、熱いチームワークが魅力のスポーツアニメの代表格。"
42,primary,ja-JP,メガネブ!,"""メガネブ!"" はメガネを愛する高校生たちの日常を描くオリジナル学園アニメ。主人公・三荻ミツバは入学後に眼鏡部へ入部し、部員たちとメガネ談義や様々な活動を繰り広げる。メガネを絆に、少年たちの純粋な友情と普通の温かい学園生活が描かれる。清潔な作風とほのぼのとした癒しの雰囲気が魅力の作品。"
43,primary,ja-JP,マギ The kingdom of magic,"""マギ The kingdom of magic"" 第2期は同名漫画をアニメ化。アラジンとアリババの冒険が続く。今期はマグノシュタット学園と魔導士の戦争を中心に、アラジンが魔法を学びながら国家の争いに巻き込まれ、アリババが迷いの中で自らの道を探す。壮大な世界観とファンタジー設定、激しい戦い、そして権力や国家、奴隷制のテーマを深く描く傑作。"
44,primary,ja-JP,ポケットモンスター XY,"""ポケットモンスター XY"" は『ポケモン』アニメの第6シリーズ。美しいカロス地方を舞台に、サトシとピカチュウが新たな仲間と出会い、ジムバッジを集めながら旅をする。華麗なバトル描写とメガシンカの導入、ライバルやチャンピオン・カルネとの戦いが描かれ、トレーナーとポケモンの深い絆が表現される。"
45,primary,ja-JP,弱虫ペダル,"""弱虫ペダル"" は同名漫画をアニメ化。オタクの高校生・小野田坂道が自転車競技に夢を見出す物語。坂道は総北高校自転車競技部に入部し、今泉や鳴子らと共に高校レースで戦いながら成長していく。レース戦術の緻密な描写とチームワーク、熱いシーンが魅力で、内気なオタクからエースへと変貌する坂道の成長が感動を呼ぶ。"
46,primary,ja-JP,ダイヤのA,"""ダイヤのA"" は同名野球漫画をアニメ化。青道高校野球部の熱い物語。主人公・沢村栄純は独特のピッチングを武器に青道へ入学し、天才捕手・御幸一也や多くの仲間たちと甲子園を目指す。リアルな野球戦術と丁寧な試合描写、キャラクターの成長が魅力で、少年たちの青春群像が感動的に描かれる野球アニメの定番。"
47,primary,ja-JP,サムライフラメンコ,"""サムライフラメンコ"" はオリジナルアニメ。普通の青年・羽佐間正義がボランティア警察官になったことから、本物の犯罪やヒーローとの戦いに巻き込まれていく。出会った相棒・後藤英徳やフラメンコと名乗る謎の存在により、物語は軽いコメディからシリアスな壮大なヒーロー譚へと変貌する。予想外の展開と独特のヒーロー観が話題を呼んだ作品。"
48,primary,ja-JP,ガリレイドンナ,"""ガリレイドンナ"" はガリレオの子孫である三姉妹の物語を描くオリジナルアニメ。三人の子孫はそれぞれ才能と個性を持つが、祖父の残した財宝を巡る国際的な争いに巻き込まれてしまう。ガリレオの遺産を手がかりに、科学と冒険に満ちた旅が展開し、真実を追う中で姉妹の絆が深まる。科学要素とアクションアドベンチャー、温かい日常が融合した作品。"
49,primary,ja-JP,ファイ・ブレイン 神のパズル,"""ファイ・ブレイン 神のパズル"" 第3期はパズルアニメの第3シーズン。天才パズル解き・大門カイトが、囚われた仲間や友を救うため、神のパズルと呼ばれる古代のパズルに挑み続ける。今期は新しいパズル機構と強力なライバルが登場し、カイトのパズル能力がさらに磨かれる。知的なパズル解決と緊張感ある対決が魅力のパズルアニメの異色作。"
50,primary,ja-JP,ログ・ホライズン,"""ログ・ホライズン"" は同名ライトノベルをアニメ化。オンラインゲーム『エルダー・テイル』のアップデート後、3万人以上のプレイヤーがゲーム世界に閉じ込められログアウト不能になる。ベテランプレイヤーのシロエは知略と統率力でゲーム世界に影響力を築き、現実に戻る方法を模索する。戦略と経営、MMO設定が魅力のMMOアニメの傑作。"
51,primary,ja-JP,声優戦隊ボイストーム7,"""声優戦隊ボイストーム7"" は声優業界をテーマにしたオリジナルアニメ。声優学校に通う若者たちがプロを目指して奮闘する姿を描く。オーディションや収録現場、事務所、日常生活など、業界のリアルな描写とコメディが満載。声の仕事を入り口に、声の世界の魅力と裏方の苦労が描かれ、声優志望者の真摯な姿が感動的で楽しい作品。"
52,primary,ja-JP,はじめの一歩 Rising,"""はじめの一歩 Rising"" は名作ボクシングアニメの第3期。幕之内一歩は鴨川ジムで修行を続け、世界レベルのチャンピオンを目指してより強い相手に挑戦する。今期は一歩がさらに厳しいライバルと対戦し、リングで敗北と突破を経験しながらより大きな力を磨く。リアルなボクシング描写と熱い試合シーン、キャラクターの成長が魅力のボクシングアニメの代表格。"
53,primary,ja-JP,摸索吧！部活剧,これは女子高生たちが部活を立ち上げ、部活動の方向性を模索する実験的短編アニメ。主人公たちは即興の演技と対話で物語を進め、実験性とコメディに満ち、従来のアニメの枠組みを打ち破る。独特の演出技術やメタ的な笑い、アニメ制作へのパロディが特徴で、くだらない部活のアイデアで笑いを生む、ミーム精神あふれる実験的ギャグアニメ。
54,primary,ja-JP,ミス・モノクローム,"""ミス・モノクローム"" はバーチャルアイドルを描く短編アニメ。主人公ミス・モノクロームはアイドルを愛するロボット少女で、偶然の目覚めからアイドルになるために奮闘する。誇張された演出とテンポの速いギャグ、ナンセンスな展開が特徴で、夢に向かってドタバタを繰り返す姿が愛らしい。極端なテンポと密集した笑いが魅力の軽快な癒し系ショートアニメ。"
55,primary,ja-JP,プピポー!,"""プピポー!"" は未来から来た謎の生物プピポーと人間の少女の心温まる日常を描く短編アニメ。不思議な能力でプピポーは少女と様々な軽い事件を起こし、次第に彼女の大切なパートナーになっていく。独特の画風と癒しの雰囲気、シンプルな物語で人間と謎の生物の絆を描く、穏やかで純粋な癒し作品。"
56,primary,ja-JP,のんのんびより,"""のんのんびより"" は同名漫画をアニメ化。田舎の分校を舞台に、越谷姉妹と転校生の宮内れんげのスローライフを描く。日本の田園風景を四季折々に描き、子供たちの素朴な生活が魅力。ゆったりとしたテンポと淡い画風、癒しの雰囲気で、れんげの純真な口癖や姉妹の掛け合いが微笑ましい日常アニメの代表作。"
57,primary,ja-JP,ぎんぎつね,"""ぎんぎつね"" は同名漫画をアニメ化。神社の巫女・冴木まことと狐の神使・銀太郎の心温まる日常を描く。まことは上田天神社の巫女で、神と交信できる銀太郎は毒舌ながらも彼女を静かに見守る。神社の祭事や参拝者の願い、少女の成長を軸に、神使と人間の絆と温かさが描かれる。繊細な作画と静謐な雰囲気が魅力の癒し系日常作品。"
58,primary,ja-JP,蒼の彼方のフォーリズム,"""蒼の彼方のフォーリズム"" は同名ゲームをアニメ化。騎士学園で少女たちが馬に乗り、槍と剣を操って競う世界。主人公・美咲海斗は怪我を機に支援側へ回り、騎士候補生たちを助け、彼女たちとの深い信頼を築く。学園騎士競技と恋愛を中心に、少女たちの凛々しい姿と青春が描かれる。競技の熱さとロマンチックな空気が融合した作品。"
59,primary,ja-JP,凪のあすから,"""凪のあすから"" はP.A.WORKS制作のオリジナルアニメ。海と陸という二つの世界の少年少女たちの青春を描く。海底の村・汐鹿生の若者たちは潮の変化により陸の学校へ転校し、陸の仲間たちと出会い、恋と友情に絡み合う。繊細な感情描写と壮大な海の景色、洗練された作画が魅力で、潮と時間のメタファーが通底する美しく切ない青春群像劇。"
60,primary,ja-JP,世界で一番強くなりたい!,"""世界で一番強くなりたい!"" は同名ライトノベルをアニメ化。人気アイドルの萩原さくらが怪我を機にプロレスへ転向し、レスリングの舞台で成長していく物語。女子プロレスを中心に、さくらは練習と試合で限界に挑戦し、次第に観客の認めるところとなる。アイドルとプロレスの要素を融合し、アイドルの華やかさとリングの汗と情熱が描かれる。"
61,primary,ja-JP,てーきゅう,"""てーきゅう"" はテニス部の少女たちのシュールな日常を描くギャグ短編アニメ。テンポの速いギャグと誇張された演出、奇想天外なネタが特徴で、真面目なテニスの試合も笑いのシーンに変えてしまう。各話は極めて短いが笑いの密度は濃く、部員たちのドジな試合と練習風景が繰り広げられる。暇つぶしにぴったりの爆笑ショートアニメ。"
62,primary,ja-JP,限制级杀手,これは暗殺者を描くギャグアニメ。謎の殺し屋が予想外の方法で様々な暗殺任務をこなすが、いつも笑えるトラブルに巻き込まれる。淡々としたユーモアと誇張されたバイオレンスコメディが特徴で、真面目な任務とナンセンスな日常が自由に行き来する。主人公のギャップや裏社会のキャラクターたちが独特のブラックユーモアを生み出す異色作。
63,primary,ja-JP,名探偵コナン,"""名探偵コナン"" は国民的定番のミステリーアニメ。高校生探偵・工藤新一は黒の組織に毒を盛られて幼児化し、江戸川コナンと名乗り、毛利小五郎の元で生活しながら子供の姿で難事件を解決していく。巧妙な殺人事件と黒の組織の陰謀、灰原哀や服部平次らとの連携、蘭との恋愛が絡み合う。密室殺人から怪盗キッドの華麗な登場まで、コナンの緻密な推理が光る。"
64,primary,ja-JP,ONE PIECE,"""ONE PIECE"" は尾田栄一郎原作の同名漫画をアニメ化。少年ルフィは海賊王になるため、仲間と共に麦わら海賊団を結成し、伝説の宝・ワンピースを探してグランドラインを航海する。熱い冒険と仲間との絆、壮大な世界観が魅力で、ゾロやナミ、サンジ、ウソップらとの友情を深めながら、海軍や四皇、世界政府との激闘に巻き込まれていく。"
65,primary,ja-JP,NARUTO -ナルト- 疾風伝,"""NARUTO -ナルト- 疾風伝"" は『ナルト』の続編。修行から戻ったナルトの成長を描く。ナルトはサクラやサスケと共に木ノ葉隠れの里で任務を遂行し、大蛇丸や暁、第四次忍界大戦の渦に巻き込まれていく。忍術バトルと絆、平和をテーマに、ナルトは不撓の努力と尾獣の力で成長し、サスケとの宿命的な対決が通底する。熱血忍者アニメの金字塔。"
66,primary,ja-JP,キングダム,"""キングダム"" 第2期は同名漫画をアニメ化。中国戦国時代末期を舞台に、大将軍を目指す少年・信が親友・漂や大将軍・王騎と出会い、天下統一の大きな戦いに巻き込まれていく。今期は秦と趙の戦いなど史実の出来事が続き、戦場での信の成長と群雄たちの活躍が描かれる。壮大な戦争シーンと熱いキャラクター成長、本格的な歴史背景が魅力の歴史アニメの傑作。"
